Contrato,Idade,Sexo,Valor_Renda,UF_Cliente,Perc_Juros,Prazo_Emprestimo,Data_Contratacao,Prazo_Restante,VL_Emprestimo,VL_Emprestimo_ComJuros,QT_Total_Parcelas_Pagas,QT_Total_Parcelas_Pagas_EmDia,QT_Total_Parcelas_Pagas_EmAtraso,Qt_Renegociacao,Estado_Civil,Escolaridade,Possui_Patrimonio,VL_Patrimonio,QT_Parcelas_Atraso,QT_Dias_Atraso,Saldo_Devedor,Total_Pago,Possivel_Fraude
322030512715,58,M,15000.00,SC,18.0000,90,2022-01-19,76,30000.00,34500.00,19,3,4,2,CASADO (A),Nenhum,N,0.00,1,11,20672.85,15532.61,Nao
322049924715,34,M,1800.00,SP,25.0000,190,2022-04-20,175,150000.00,172500.00,3,1,0,2,SOLTEIRO(A),NULL,N,0.00,16,529,187562.59,1799.55,Sim
322079553715,31,M,2030.00,PE,18.0000,70,2022-09-22,60,28000.00,32200.00,14,3,3,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,26656.21,6783.02,Nao
322087673715,42,M,5000.00,MG,7.0000,75,2022-10-31,64,60000.00,69000.00,12,10,2,0,SOLTEIRO(A),NULL,N,0.00,0,NULL,53927.74,10438.13,Nao
322028342715,38,M,35000.00,SP,19.0000,190,2021-12-30,185,110000.00,126500.00,22,2,6,1,CASADO (A),NULL,N,0.00,0,NULL,123087.12,9544.64,Nao
322082027715,29,F,3700.00,RJ,23.0000,36,2022-10-07,28,9000.00,10350.00,1,1,0,2,SOLTEIRO(A),NULL,N,0.00,12,344,11044.78,312.50,Sim
321986695715,42,M,3000.00,PB,21.0000,60,2021-07-08,38,10000.00,11500.00,1,1,0,0,SOLTEIRO(A),NULL,N,0.00,27,802,12317.91,205.00,Sim
321957447715,41,M,4000.00,BA,19.0000,190,2021-02-22,175,150000.00,172500.00,9,5,1,1,OUTRO,NULL,N,0.00,24,708,175560.95,5075.44,Sim
321971300715,49,M,15000.00,PR,20.0000,200,2021-04-29,221,160000.00,184000.00,4,1,1,2,CASADO (A),NULL,N,0.00,25,741,192616.96,2111.57,Sim
321986471715,42,M,4500.00,RJ,14.0000,80,2021-07-08,84,45000.00,51750.00,6,2,2,0,DIVORCIADO,NULL,N,0.00,21,617,48415.17,3908.27,Sim
322026532715,23,F,2400.00,SP,20.0000,200,2021-12-20,227,200000.00,230000.00,21,9,3,3,SOLTEIRO(A),NULL,N,0.00,2,406,227090.00,16032.60,Nao
321957466715,31,M,8600.00,PR,16.0000,180,2021-02-19,175,75000.00,86250.00,3,1,2,2,OUTRO,NULL,N,0.00,30,894,87064.29,1158.55,Sim
322051381715,49,M,1500.00,CE,25.0000,200,2022-04-28,185,100000.00,115000.00,2,2,0,1,SOLTEIRO(A),Nenhum,N,0.00,16,468,125483.86,760.00,Sim
322008511715,25,M,3100.00,MA,21.0000,80,2021-10-06,60,30000.00,34500.00,2,1,1,2,CASADO (A),Nenhum,N,0.00,23,680,36119.26,727.50,Sim
322071478715,39,F,4000.00,SP,15.0000,180,2022-08-16,225,250000.00,287500.00,2,2,0,0,CASADO (A),Nenhum,N,0.00,13,376,288273.67,3319.44,Sim
322012980715,36,M,5000.00,SP,21.0000,60,2021-10-26,42,15000.00,17250.00,1,1,0,0,SOLTEIRO(A),NULL,N,0.00,23,680,18426.97,307.50,Sim
322037954715,41,M,5000.00,BA,16.0000,70,2022-02-21,89,60000.00,69000.00,11,0,7,1,CASADO (A),NULL,N,0.00,10,284,59658.90,11482.36,Sim
321970418715,28,F,2000.00,BA,21.0000,55,2021-05-05,34,15000.00,17250.00,30,7,7,2,SOLTEIRO(A),NULL,N,0.00,0,NULL,8337.28,10494.55,Nao
321959220715,40,F,2000.00,PE,19.0000,190,2021-02-27,175,100000.00,115000.00,1,1,0,1,CASADO (A),NULL,N,0.00,30,894,121078.60,373.60,Sim
322022827715,40,F,3000.00,PB,19.0000,190,2021-12-06,227,190000.00,218500.00,9,2,2,1,DIVORCIADO,NULL,N,0.00,14,406,222094.28,6327.38,Sim
322093589715,34,M,6000.00,SC,7.0000,75,2022-11-29,64,50000.00,57500.00,11,4,0,0,OUTRO,NULL,N,0.00,0,NULL,45653.16,7846.85,Nao
322027977715,37,F,3900.00,RS,19.0000,190,2021-12-29,185,100000.00,115000.00,2,1,1,1,SOLTEIRO(A),Nenhum,N,0.00,19,559,119544.96,745.07,Sim
322074927715,30,M,10450.00,RJ,20.0000,200,2022-08-31,227,200000.00,230000.00,14,10,0,1,SOLTEIRO(A),NULL,S,0.00,0,NULL,232060.03,9962.93,Nao
322068675715,44,M,7000.00,SP,18.0000,170,2022-07-30,156,250000.00,287500.00,15,1,2,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,276762.45,20839.76,Nao
321960975715,23,M,1500.00,MG,18.0000,100,2021-04-07,80,30000.00,34500.00,31,25,1,2,SOLTEIRO(A),NULL,N,0.00,0,NULL,24533.23,12756.44,Nao
322086640715,23,M,2000.00,PI,21.0000,80,2022-10-27,68,45000.00,51750.00,12,9,0,2,SOLTEIRO(A),NULL,N,0.00,0,NULL,48352.00,6669.31,Nao
322008241715,41,F,5000.00,MT,20.0000,200,2021-10-05,221,150000.00,172500.00,1,1,0,1,SOLTEIRO(A),Nenhum,N,0.00,24,708,181481.25,532.50,Sim
322064995715,41,M,4300.00,SP,22.0000,200,2022-07-20,225,250000.00,287500.00,13,2,1,1,CASADO (A),NULL,N,0.00,3,71,295748.53,11862.50,Nao
321996793715,30,M,1430.00,CE,18.0000,100,2021-08-18,85,40000.00,46000.00,5,3,0,0,SOLTEIRO(A),NULL,N,0.00,22,649,45641.10,2380.00,Sim
322073674715,25,M,3000.00,MA,21.0000,80,2022-08-26,74,45000.00,51750.00,3,1,1,1,SOLTEIRO(A),NULL,N,0.00,12,344,53638.99,1664.53,Sim
322047797715,41,F,3000.00,SP,23.0000,60,2022-04-07,66,25000.00,28750.00,1,1,0,0,CASADO (A),NULL,N,0.00,18,529,31204.21,526.08,Sim
322032419715,31,M,7200.00,MG,23.0000,20,2022-01-19,0,10000.00,11500.00,1,1,0,3,SOLTEIRO(A),NULL,N,0.00,2,103,1038.90,12443.92,Nao
322067736715,47,M,6000.00,MA,21.0000,60,2022-07-27,75,80000.00,92000.00,6,2,1,2,SOLTEIRO(A),NULL,N,0.00,6,162,90202.68,7760.20,Sim
321996989715,43,M,3400.00,GO,22.0000,200,2021-08-19,175,65000.00,74750.00,1,1,0,0,SOLTEIRO(A),NULL,N,0.00,26,771,79968.65,399.75,Sim
321964338715,53,M,3000.00,RS,18.0000,180,2021-03-29,179,100000.00,115000.00,12,2,3,1,CASADO (A),Nenhum,N,0.00,19,559,111282.93,7964.57,Sim
322029625715,36,M,6000.00,GO,12.6000,40,2022-01-07,31,10000.00,11500.00,9,3,5,2,SOLTEIRO(A),Nenhum,N,0.00,11,315,5069.69,6774.81,Nao
322040631715,38,M,2600.00,MG,18.0000,50,2022-03-04,30,30000.00,34500.00,18,12,2,2,SOLTEIRO(A),NULL,N,0.00,0,NULL,11652.33,24990.75,Nao
322034335715,64,M,2500.00,SP,9.0000,60,2022-01-28,44,8000.00,9200.00,21,17,1,0,OUTRO,NULL,N,0.00,0,NULL,5667.95,3085.70,Nao
322039785715,21,M,2000.00,MG,20.0000,100,2022-03-03,85,25000.00,28750.00,1,1,0,0,SOLTEIRO(A),NULL,N,0.00,19,559,30279.21,307.58,Sim
322062134715,47,M,3800.00,MG,20.0000,100,2022-06-25,89,50000.00,57500.00,4,3,1,0,SOLTEIRO(A),Ensino Médio,N,0.00,12,344,58495.95,2527.94,Sim
321994950715,49,M,2500.00,SP,17.8250,70,2021-08-10,45,30000.00,34500.00,0,0,0,3,OUTRO,NULL,N,0.00,27,802,35943.81,0.00,Sim
321993642715,20,M,1200.00,MG,21.0000,60,2021-08-13,38,9000.00,10350.00,27,7,18,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,6088.56,5290.95,Nao
321976230715,49,M,20000.00,SP,20.0000,200,2021-05-27,221,120000.00,138000.00,11,5,4,2,CASADO (A),Nenhum,N,0.00,16,468,140765.07,4746.72,Sim
322079216715,31,M,1800.00,SP,21.0000,50,2022-09-21,37,10000.00,11500.00,3,2,1,0,SOLTEIRO(A),NULL,N,0.00,10,284,11659.91,743.08,Sim
322032263715,60,F,5000.00,GO,26.0000,240,2022-01-18,227,200000.00,230000.00,1,1,0,0,CASADO (A),NULL,N,0.00,20,589,254681.47,1100.87,Sim
322046044715,43,F,1300.00,CE,25.0000,200,2022-03-30,185,100000.00,115000.00,16,8,6,4,SOLTEIRO(A),Nenhum,N,0.00,0,NULL,119821.22,6164.54,Nao
322000780715,32,M,2000.00,RJ,24.0000,36,2021-09-06,15,7000.00,8050.00,3,3,0,0,SOLTEIRO(A),NULL,N,0.00,23,680,8443.59,746.67,Sim
322073531715,20,F,1200.00,MG,20.0000,200,2022-08-25,193,100000.00,115000.00,14,10,1,1,SOLTEIRO(A),NULL,N,0.00,1,11,116059.24,5254.62,Nao
322073557715,34,M,7664.00,SP,14.0000,90,2022-08-25,75,100000.00,115000.00,13,0,3,3,DIVORCIADO,Nenhum,N,0.00,0,NULL,30192.00,84894.22,Nao
321969343715,25,M,6670.00,SP,7.0000,50,2021-04-20,20,50000.00,57500.00,29,9,5,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,0.00,53586.67,Nao
322015880715,25,M,3070.00,MG,18.0000,60,2021-11-08,39,50000.00,57500.00,22,7,8,3,SOLTEIRO(A),NULL,N,0.00,0,NULL,18049.22,42711.53,Nao
321986546715,28,F,3000.00,SP,24.0000,36,2021-07-07,13,5000.00,5750.00,2,1,0,2,SOLTEIRO(A),NULL,N,0.00,22,708,4483.36,2503.67,Nao
322074791715,39,M,4750.00,GO,20.0000,90,2022-09-01,76,50000.00,57500.00,14,8,0,0,DIVORCIADO,Nenhum,N,0.00,0,NULL,51089.20,9584.50,Nao
322053800715,27,M,4000.00,BA,21.0000,45,2022-05-12,29,15000.00,17250.00,1,1,0,0,SOLTEIRO(A),Nenhum,N,0.00,17,498,18374.56,413.09,Sim
321966244715,22,M,2000.00,GO,21.0000,45,2021-04-07,19,11000.00,12650.00,2,1,1,0,SOLTEIRO(A),NULL,N,0.00,28,833,13268.11,608.23,Sim
321956024715,26,M,1421.54,BA,13.0000,75,2021-02-19,45,40000.00,46000.00,31,11,9,3,SOLTEIRO(A),NULL,N,0.00,0,NULL,11870.53,39426.59,Nao
322036453715,31,F,4134.94,BA,18.0000,60,2022-02-10,60,45000.00,51750.00,19,13,2,1,CASADO (A),NULL,N,0.00,0,NULL,13295.57,41091.84,Nao
322050416715,20,M,1600.00,PR,20.0000,100,2022-04-22,84,25000.00,28750.00,9,8,1,0,SOLTEIRO(A),NULL,N,0.00,10,284,27700.71,2848.80,Sim
322064582715,36,M,3500.00,SP,23.0000,200,2022-07-11,221,120000.00,138000.00,2,2,0,2,SOLTEIRO(A),NULL,N,0.00,14,406,148308.92,1238.00,Sim
322073323715,59,F,3000.00,BA,18.0000,90,2022-08-24,80,60000.00,69000.00,3,2,1,0,CASADO (A),NULL,N,0.00,12,344,69549.02,2415.96,Sim
321980960715,27,M,6000.00,AL,7.0000,80,2021-06-15,64,60000.00,69000.00,1,1,0,0,OUTRO,NULL,N,0.00,27,802,63397.49,802.50,Sim
321999512715,40,F,2100.00,ES,22.0000,190,2021-08-30,175,90000.00,103500.00,1,1,0,1,SOLTEIRO(A),NULL,N,0.00,25,741,110702.10,345.69,Sim
322000203715,66,M,15000.00,MA,15.0000,150,2021-08-31,125,220000.00,253000.00,8,1,0,1,DIVORCIADO,NULL,N,0.00,15,435,242631.56,13611.84,Sim
322033185715,47,M,4500.00,SC,20.0000,200,2022-01-22,227,200000.00,230000.00,0,0,0,2,SOLTEIRO(A),NULL,N,0.00,21,617,242853.86,0.00,Sim
322031385715,63,M,5000.00,BA,19.0000,190,2022-01-14,227,200000.00,230000.00,21,7,0,2,CASADO (A),NULL,N,0.00,0,NULL,224517.32,17471.40,Nao
322081556715,52,F,2100.00,MG,18.0000,20,2022-09-30,10,8000.00,9200.00,1,1,0,2,DIVORCIADO,NULL,N,0.00,12,344,9189.21,481.61,Sim
322013738715,29,M,1117.00,PB,21.0000,40,2021-11-08,16,10000.00,11500.00,4,3,1,1,SOLTEIRO(A),NULL,N,0.00,17,498,11279.25,1247.56,Sim
322011837715,41,M,4000.00,SP,24.0000,240,2021-10-21,221,140000.00,161000.00,4,0,2,1,CASADO (A),NULL,N,0.00,21,617,172260.84,2916.48,Sim
321948717715,38,M,3000.00,SC,18.0000,48,2021-01-13,35,10000.00,11500.00,1,1,0,0,OUTRO,NULL,N,0.00,33,981,11750.00,250.00,Sim
322020255715,25,F,7000.00,RS,20.0000,240,2021-11-26,225,500000.00,575000.00,3,3,0,2,SOLTEIRO(A),Nenhum,N,0.00,20,589,597312.70,7866.42,Sim
321961024715,58,F,3300.00,PE,20.0000,140,2021-03-09,120,100000.00,115000.00,31,25,2,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,106056.69,19006.56,Nao
322090442715,33,F,8000.00,PE,18.0000,165,2022-11-25,156,450000.00,517500.00,1,1,0,1,SOLTEIRO(A),NULL,N,0.00,10,284,534367.16,1881.45,Sim
322023285715,32,M,4500.00,PA,24.0000,20,2021-12-06,-2,5000.00,5750.00,3,2,1,0,SOLTEIRO(A),NULL,N,0.00,17,589,5716.83,963.24,Sim
321948301715,32,M,3000.00,BA,18.0000,75,2021-01-13,41,35000.00,40250.00,5,1,1,0,CASADO (A),Nenhum,N,0.00,29,862,40067.71,2848.00,Sim
321992412715,29,F,3000.00,MA,20.0000,36,2021-07-30,35,20000.00,23000.00,5,4,0,5,SOLTEIRO(A),NULL,N,0.00,22,708,19740.73,2831.27,Sim
321967754715,35,M,5000.00,SP,18.0000,75,2021-04-14,45,40000.00,46000.00,13,6,4,1,CASADO (A),NULL,N,0.00,18,529,40142.23,8796.98,Sim
322031092715,28,M,6666.66,MG,18.0000,45,2022-01-13,27,25000.00,28750.00,19,1,11,3,SOLTEIRO(A),NULL,N,0.00,1,11,9880.44,20886.82,Nao
321954153715,37,M,1800.00,RS,19.0000,190,2021-02-08,225,150000.00,172500.00,5,4,0,1,CASADO (A),Nenhum,N,0.00,28,833,177861.35,2762.25,Sim
321980468715,32,M,2500.00,PA,20.0000,200,2021-06-21,179,60000.00,69000.00,29,12,11,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,64247.69,10136.52,Nao
321998593715,35,F,1200.00,MG,13.0000,60,2021-08-24,40,9000.00,10350.00,4,0,3,2,SOLTEIRO(A),NULL,N,0.00,23,708,9654.02,866.67,Sim
321965493715,29,F,6000.00,SP,22.0000,200,2021-04-03,225,400000.00,460000.00,6,4,0,1,CASADO (A),NULL,N,0.00,25,741,482211.66,11760.00,Sim
322096614715,53,F,1500.00,RJ,22.0000,100,2022-12-19,94,30000.00,34500.00,11,7,2,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,34490.99,2499.14,Nao
322035697715,29,M,3600.00,RS,14.0000,180,2022-02-06,179,100000.00,115000.00,21,21,0,1,SOLTEIRO(A),NULL,S,0.00,0,NULL,107419.05,8118.12,Nao
322057690715,50,F,3000.00,SP,20.0000,100,2022-05-31,87,30000.00,34500.00,17,14,0,0,SOLTEIRO(A),NULL,N,0.00,0,NULL,30129.01,6712.08,Nao
322016278715,23,F,3000.00,SE,18.0000,60,2021-11-10,39,50000.00,57500.00,22,21,0,3,SOLTEIRO(A),Nenhum,N,0.00,0,NULL,18121.66,42514.67,Nao
321997933715,50,M,3500.00,RJ,21.0000,60,2021-08-21,37,12000.00,13800.00,2,1,1,1,SOLTEIRO(A),NULL,N,0.00,25,741,14515.49,491.99,Sim
321947391715,32,F,1100.00,MG,24.0000,30,2021-01-08,0,7000.00,8050.00,6,2,1,0,DIVORCIADO,NULL,N,0.00,24,833,7505.20,1798.13,Sim
322077316715,48,M,8000.00,PR,17.0000,150,2022-09-12,143,300000.00,345000.00,3,2,0,0,CASADO (A),NULL,N,0.00,11,315,348634.45,7258.71,Sim
322081413715,35,M,3000.00,MA,21.0000,36,2022-09-30,35,20000.00,23000.00,12,12,0,0,SOLTEIRO(A),NULL,N,0.00,0,NULL,16400.16,8231.34,Nao
322046370715,53,F,5000.00,MG,18.0000,35,2022-03-31,19,15000.00,17250.00,1,1,0,2,SOLTEIRO(A),Nenhum,N,0.00,18,529,17755.61,514.29,Sim
322027160715,34,F,2400.00,RS,20.0000,200,2022-01-21,227,180000.00,207000.00,21,4,6,4,CASADO (A),NULL,N,0.00,1,617,204176.88,13567.10,Nao
321974308715,34,F,3500.00,BA,19.0000,190,2021-05-14,175,100000.00,115000.00,30,20,0,2,CASADO (A),NULL,N,0.00,0,NULL,109691.63,11750.61,Nao
321977994715,46,M,2500.00,MG,21.0000,55,2021-05-31,37,11000.00,12650.00,1,1,0,0,SOLTEIRO(A),NULL,N,0.00,28,833,13561.72,246.00,Sim
322008298715,50,F,3500.00,SP,20.0000,200,2021-10-09,185,70000.00,80500.00,4,3,1,0,CASADO (A),NULL,N,0.00,21,617,83674.57,1760.55,Sim
321974718715,22,M,2000.00,SP,21.0000,55,2021-05-15,34,15000.00,17250.00,30,17,9,2,SOLTEIRO(A),Nenhum,N,0.00,0,NULL,8028.39,11845.11,Nao
322098140715,29,F,3000.00,AL,22.0000,100,2022-12-23,94,40000.00,46000.00,11,5,1,3,SOLTEIRO(A),NULL,N,0.00,0,NULL,35768.23,13450.28,Nao
322066279715,24,M,3000.00,MG,21.0000,36,2022-07-20,35,16000.00,18400.00,6,0,1,3,SOLTEIRO(A),NULL,N,0.00,8,225,10798.24,9070.10,Nao
321977144715,51,M,10000.00,SP,20.0000,200,2021-05-27,221,120000.00,138000.00,2,1,0,2,CASADO (A),NULL,N,0.00,26,771,144796.07,852.00,Sim
322071047715,55,F,2500.00,RS,19.0000,190,2022-08-12,175,130000.00,149500.00,15,10,0,1,CASADO (A),NULL,N,0.00,0,NULL,148818.14,7197.32,Nao
322058338715,44,F,9800.00,GO,21.0000,48,2022-06-06,35,16000.00,18400.00,13,4,3,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,0.00,20736.49,Nao
322032004715,21,M,900.00,MG,21.0000,60,2022-01-17,42,13000.00,14950.00,22,5,4,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,10150.95,6190.85,Nao
321986242715,42,M,17000.00,SP,7.0000,80,2021-07-06,64,50000.00,57500.00,20,2,5,1,CASADO (A),NULL,N,0.00,0,NULL,0.00,32302.63,Nao
321955345715,40,M,1303.99,CE,21.0000,60,2021-02-12,33,14000.00,16100.00,8,8,0,0,SOLTEIRO(A),Nenhum,N,0.00,25,741,15212.72,2296.00,Sim
321989114715,62,F,2000.00,PA,20.0000,48,2021-07-19,40,16000.00,18400.00,9,3,6,0,SOLTEIRO(A),NULL,N,0.00,19,559,16170.91,3739.03,Sim
322095774715,86,F,3030.00,SP,20.0000,100,2022-12-12,94,60000.00,69000.00,1,1,0,0,VIÚVO(A),Nenhum,N,0.00,9,251,72133.41,726.00,Sim
322014908715,35,F,5000.00,SP,20.0000,200,2021-11-05,185,85000.00,97750.00,2,1,1,0,CASADO (A),NULL,N,0.00,22,649,102276.44,1028.50,Sim
322066446715,53,F,3000.00,BA,23.0000,200,2022-07-21,193,100000.00,115000.00,1,1,0,1,SOLTEIRO(A),NULL,N,0.00,14,406,123837.28,370.00,Sim
322077564715,27,M,5000.00,SC,16.0000,100,2022-09-19,107,130000.00,149500.00,14,10,0,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,141024.02,12766.17,Nao
322071724715,78,M,1200.00,SP,20.0000,95,2022-08-16,82,30000.00,34500.00,4,3,0,0,CASADO (A),NULL,N,0.00,11,315,34939.16,1528.32,Sim
321946063715,25,M,1500.00,BA,18.0000,100,2021-01-04,76,30000.00,34500.00,3,2,0,0,SOLTEIRO(A),NULL,N,0.00,31,924,35075.64,1071.00,Sim
322018009715,32,F,7000.00,PA,18.0000,48,2021-11-19,49,15000.00,17250.00,8,4,0,0,DIVORCIADO,NULL,N,0.00,15,435,15315.01,2999.93,Sim
321989042715,59,M,10000.00,MA,18.0000,100,2021-07-23,85,30000.00,34500.00,2,1,1,0,CASADO (A),Nenhum,N,0.00,25,741,35345.14,731.61,Sim
322025132715,27,F,6000.00,PR,18.0000,60,2021-12-14,45,50000.00,57500.00,5,5,0,0,CASADO (A),Nenhum,N,0.00,18,529,55723.36,5000.00,Sim
321966747715,54,M,2000.00,PR,21.0000,35,2021-04-08,7,15000.00,17250.00,4,3,1,0,SOLTEIRO(A),Nenhum,N,0.00,27,802,16914.61,2119.80,Sim
321954333715,27,F,3000.00,SP,21.0000,60,2021-02-08,33,7000.00,8050.00,1,1,0,0,SOLTEIRO(A),NULL,N,0.00,32,953,8651.76,143.50,Sim
321994484715,47,M,8697.50,MG,22.0000,180,2021-08-07,225,400000.00,460000.00,23,1,0,1,CASADO (A),NULL,N,0.00,4,103,442253.46,52273.96,Nao
322083862715,27,F,1400.00,MG,23.0000,60,2022-10-20,53,10000.00,11500.00,1,1,0,0,DIVORCIADO,NULL,N,0.00,11,315,12407.02,210.43,Sim
322082059715,38,M,10000.00,SP,20.0000,200,2022-10-06,227,230000.00,264500.00,1,1,0,1,SOLTEIRO(A),NULL,N,0.00,12,344,277873.87,816.50,Sim
321967728715,30,F,7700.00,AL,7.0000,50,2021-04-14,20,30000.00,34500.00,29,24,2,2,CASADO (A),Nenhum,N,0.00,0,NULL,5982.66,26345.02,Nao
321967288715,41,M,3500.00,SC,19.0000,190,2021-04-12,179,100000.00,115000.00,4,3,1,1,SOLTEIRO(A),NULL,N,0.00,27,802,118927.33,1480.70,Sim
321967965715,38,M,10000.00,SP,18.0000,60,2021-04-16,40,10000.00,11500.00,13,10,1,0,CASADO (A),Nenhum,N,0.00,0,NULL,0.00,12211.23,Nao
321969042715,22,M,2000.00,MS,21.0000,80,2021-05-10,80,30000.00,34500.00,2,1,0,1,SOLTEIRO(A),NULL,N,0.00,28,833,36283.19,727.50,Sim
322080156715,33,M,5000.00,SP,16.0000,100,2022-09-25,125,130000.00,149500.00,13,2,2,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,140776.97,11734.13,Nao
322084726715,63,F,2000.00,PR,20.0000,200,2022-10-17,198,100000.00,115000.00,1,1,0,1,SOLTEIRO(A),NULL,N,0.00,11,315,120800.65,355.00,Sim
322085944715,37,M,16500.00,PR,24.0000,235,2022-10-24,225,350000.00,402500.00,6,5,1,0,CASADO (A),NULL,N,0.00,7,194,426848.46,11167.80,Sim
322013297715,32,F,2500.00,SP,19.0000,190,2021-10-29,185,100000.00,115000.00,24,7,11,2,CASADO (A),NULL,N,0.00,0,NULL,111162.70,9478.38,Nao
322029052715,22,M,1500.00,BA,18.0000,35,2022-01-11,13,9000.00,10350.00,20,4,13,3,SOLTEIRO(A),Nenhum,N,0.00,0,NULL,3188.81,8084.15,Nao
321993122715,30,F,5000.00,MG,22.0000,240,2021-08-11,221,120000.00,138000.00,2,2,0,0,SOLTEIRO(A),NULL,N,0.00,25,741,146370.25,1229.76,Sim
322044218715,28,F,3200.00,BA,18.0000,60,2022-03-22,79,50000.00,57500.00,1,0,1,0,CASADO (A),NULL,N,0.00,19,559,59464.23,1001.70,Sim
322068294715,40,M,2900.00,RS,23.0000,60,2022-07-29,51,15000.00,17250.00,1,1,0,0,SOLTEIRO(A),NULL,N,0.00,14,406,18658.46,315.65,Sim
322016884715,26,F,2200.00,MA,15.0000,60,2021-11-16,60,30000.00,34500.00,4,2,0,0,CASADO (A),Nenhum,N,0.00,20,589,33068.76,2343.24,Sim
322017722715,48,M,2700.00,PR,18.0000,100,2021-11-17,76,25000.00,28750.00,19,18,1,1,DIVORCIADO,Nenhum,N,0.00,5,133,24162.18,5860.31,Sim
322042353715,26,M,3640.00,PB,7.0000,80,2022-03-20,64,40000.00,46000.00,20,10,1,2,OUTRO,NULL,N,0.00,0,NULL,33171.61,9675.87,Nao
322042945715,28,M,4500.00,SP,24.0000,36,2022-03-22,18,7000.00,8050.00,4,1,2,2,SOLTEIRO(A),NULL,N,0.00,11,315,7984.23,1028.68,Sim
